,dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar,NSAID,ISDSS,INED,IAUNAME,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a05_no_debiased,t04_spiral_a08_spiral_debiased,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
969,587729386082992254,201.0213,58.28658299999999,0.1142362046518548,-999.0,16.23126813574516,10.693603370588225,181893.0,186355.0,136851.0,J132405.11+581711.6,0.04255714,0.04297835,0.73212695,106.243805,11.788711,0.7833166,110.90607,0.8595845,93.67856,3183.0,2.0,66.0,301,18783021000.0,23388270000.0,0.9649999737739563,1.0,1.0,0,0,0,0,0,0
970,587726031699312809,151.70616,1.4573003,0.2803443879846289,17.95982551574707,18.955222071140426,10.525058755771152,623878.0,-1.0,77447.0,J100649.40+012729.9,0.04625874,0.045655854,0.6808,155.91388,9.933681,0.8102879,141.55408,0.93732506,72.21843,1462.0,2.0,176.0,301,12752445000.0,14081982000.0,0.9990000128746033,0.9702133811342775,1.0,0,1,0,0,0,0
971,587731185669308542,5.122099400000001,-0.5549951,0.5822029496435905,-999.0,15.75992379134818,10.684340150380326,33183.0,33641.0,3086.0,J002029.30-003317.9,0.03984343,0.040426638,0.51172143,65.68268,10.574132,0.60669523,65.60965,0.72708434,73.67851,2728.0,2.0,447.0,301,15796024000.0,22001715000.0,0.9010000228881836,0.9691028762407009,0.976085651575534,0,0,0,0,0,0
972,587726033843978455,145.31511,2.8209562000000004,0.1089905702632391,-999.0,16.39678689135816,10.543868847748886,58439.0,58906.0,70951.0,J094115.62+024915.4,0.048609044,0.048043985,0.7607325,159.2323,19.395079,0.665193,172.24677,0.8719164,139.38718,2126.0,1.0,174.0,301,18510694000.0,46439430000.0,1.0,0.9605531511627443,1.0,0,0,0,0,0,0
973,588295842861547581,185.18056,50.85753,0.2114644877326771,3.45340895652771,21.503287477212982,10.834767340972009,186101.0,190564.0,117649.0,J122043.33+505127.1,0.048972998,0.049225446,0.5312809,4.948242,8.891541,0.7261197,7.776703,0.8785629,17.412796,3649.0,6.0,25.0,301,26228765000.0,40696263000.0,0.9919999837875366,0.979601253593953,0.9941470952902027,0,1,0,0,0,0
974,587726032763748389,130.43126999999998,1.530527,0.5245859193172321,18.031658172607425,21.513204395873856,10.903435035268874,56193.0,56660.0,59007.0,J084143.50+013150.2,0.04997509,0.049462173,0.55743587,43.791748,15.382508,0.62703043,48.916718,0.7374345,33.952362,1462.0,4.0,34.0,301,27565881000.0,85157970000.0,0.9990000128746033,0.9734622577046432,0.9991182033851956,0,0,0,0,0,0
975,587735697523343551,209.38433999999998,55.9617,0.2270861308735049,17.430540084838867,18.028537494805942,10.20938279143651,259391.0,264577.0,147143.0,J135732.24+555742.1,0.035201523,0.03562251,0.4982093,85.8663,14.22231,0.60138535,85.29425,0.8259758,84.99933,3712.0,6.0,178.0,301,6795784000.0,11523185000.0,0.9440000057220459,0.8836487920072542,0.993121604265561,0,0,0,0,0,0
976,587742062138163311,163.90416000000002,21.591116,0.7992576282689108,-999.0,20.011332180743533,10.92673739274522,513841.0,519418.0,-1.0,J105536.99+213528.0,0.051083785,0.050788585,0.47664902,32.361298,14.652426,0.5872198,34.032135,0.72300255,29.47116,5194.0,5.0,333.0,301,30660990000.0,36746387000.0,1.0,0.9579894833791063,1.0,0,1,0,0,0,0
977,587741708348751896,181.90318,26.987469,0.9212416412109428,-999.0,21.329601615069024,10.817129195627425,477780.0,483145.0,114118.0,J120736.76+265914.8,0.04915438,0.04898261,0.7606287,177.5144,12.993234,0.8229234,162.6369,0.87435144,34.825928,5115.0,2.0,73.0,301,25998254000.0,42826740000.0,1.0,0.9846882585222363,0.9997939931754873,0,1,0,0,0,0
978,587741491442548894,160.25803,28.636843,0.1570243813740352,14.278615951538086,17.58926108676744,10.176249695273986,498497.0,503902.0,88112.0,J104101.92+283812.6,0.03614299,0.035971485,0.8441796,140.54474,19.50639,0.8752102,137.9466,0.89389545,141.87463,5061.0,6.0,305.0,301,7260544500.0,13219941000.0,0.9750000238418579,1.0,1.0,0,0,0,0,0,0
